Itga4,Itga7,Egfr,Flt1,Mxd1,Cbl,Ksr1,Vangl2,Cblb,Rabif,Tomm34,Cd2ap,Vangl1,Mlx,Tomm40l,Ppp2r1b,Dvl3,Smarce1,Ets2,Smarca4,Dvl1,Axin1,Dvl2,Sh3kbp1,Pdgfrb,Itga5,Ddx6,Nfkb2,Fxr2,Crk,Smarcb1,Trim8,Cdkn1a,Poldip3,Ccnd1,Col4a1,Fam120a,Trap1,Sec61a1,Itgb5,Tomm40,Myc,Pdia4,Igfbp4,Ctnna1,Vat1,Zfp36l1,Slc25a1,Eif3b,Trim28,Ppp2ca,Itgb1,Cyr61,Pdia3,Serpinh1,Fbln2,Eif4b,Psat1,Col1a1,Bgn
0,5,0,9,26,34,5,64,13,6,55,18,15,23,25,14,59,23,5,18,36,13,101,24,39,68,435,33,66,43,20,22,43,23,50,21,42,228,20,23,49,48,,,,88,29,8,31,105,115,392,233,554,222,121,382,100,431,560
0,3,0,0,18,21,3,18,9,5,41,16,4,23,6,29,38,17,17,12,35,26,95,20,2,68,62,10,75,24,38,33,26,25,62,64,71,81,32,27,29,42,,,,149,52,11,65,89,100,191,143,202,116,174,96,309,287,274
0,1,0,2,8,4,2,22,3,9,15,4,5,12,2,10,23,10,8,2,16,11,26,12,29,50,33,3,30,18,13,16,20,48,107,41,34,61,20,15,52,31,,,,31,6,15,15,53,43,171,66,18,50,76,64,110,152,108
0,3,0,2,13,34,3,22,4,10,19,10,5,15,14,21,37,25,5,8,31,20,88,23,40,81,141,12,80,15,30,44,18,25,30,85,47,135,13,4,18,24,,,,234,45,23,51,92,72,143,165,116,198,101,60,71,322,380
0,4,0,0,17,22,4,11,8,5,21,19,13,17,13,14,37,15,3,10,39,6,67,21,31,47,107,13,49,26,26,30,34,41,61,130,48,132,17,10,36,60,,,,65,46,18,34,96,104,132,162,78,141,118,110,283,215,316
0,1,0,0,7,9,4,15,2,7,24,9,4,20,5,7,26,9,3,7,19,13,28,11,12,40,42,11,36,15,6,8,19,27,53,57,37,85,4,16,79,21,,,,50,18,19,25,52,56,91,108,212,107,52,113,78,254,255
2,3,1,1,9,18,7,23,6,12,30,11,14,19,13,8,36,13,7,12,28,15,48,28,24,73,48,26,62,24,17,18,42,19,96,63,50,113,28,8,58,27,,,,68,53,42,38,88,103,140,119,33,105,140,68,259,223,193
0,4,1,0,25,33,0,21,10,12,32,24,10,31,11,24,44,24,8,20,41,24,55,18,14,55,34,42,59,36,23,49,59,23,44,33,70,131,13,4,34,71,,,,80,94,17,50,105,106,207,167,150,177,178,99,323,262,291
2,4,1,4,13,3,5,8,2,9,11,8,7,9,6,17,28,10,15,10,12,14,22,7,18,52,41,17,40,11,16,28,23,16,26,44,52,47,8,4,23,17,,,,136,15,15,28,70,29,84,60,74,83,93,28,103,256,59
1,1,2,7,14,13,7,17,5,10,27,12,10,28,10,21,36,19,20,12,24,27,51,24,17,69,18,29,75,19,28,52,37,47,33,155,52,89,28,5,40,30,,,,135,74,23,42,91,110,184,122,63,116,112,82,253,240,197
0,2,0,3,11,20,5,12,4,8,10,17,5,14,12,11,32,14,6,7,19,12,56,11,9,61,131,18,54,6,24,25,24,25,28,33,41,62,12,16,53,36,,,,71,30,13,45,66,42,129,149,234,141,106,66,87,391,297
